Day,Start_Hour,End_Hour,N_Jobs,Model_Type,KDE_Bandwidth,P_30_Snap,Timestamp
Maandag,0,5,262,Hybrid_KDE,0.2,0.363,2026-08-05 01:10:29
Maandag,6,6,401,Hybrid_KDE,0.2,0.561,2026-08-05 01:11:01
Maandag,7,7,336,Hybrid_KDE,0.2,0.929,2026-08-05 01:11:34
Maandag,8,8,637,Hybrid_KDE,0.25,0.917,2026-08-05 01:12:45
Maandag,9,9,607,Hybrid_KDE,0.25,0.891,2026-08-05 01:12:57
Maandag,10,10,389,Hybrid_KDE,0.25,0.889,2026-08-05 01:13:07
Maandag,11,11,279,Hybrid_KDE,0.25,0.943,2026-08-05 01:13:26
Maandag,12,12,468,Hybrid_KDE,0.25,0.925,2026-08-05 01:13:41
Maandag,13,13,407,Hybrid_KDE,0.25,0.943,2026-08-05 01:13:55
Maandag,14,14,181,Hybrid_KDE,0.25,0.934,2026-08-05 01:14:17
Maandag,15,15,84,Hybrid_KDE,0.25,0.94,2026-08-05 01:14:36
Maandag,16,16,227,Hybrid_KDE,0.15,0.969,2026-08-05 02:40:17
Maandag,17,17,283,Hybrid_KDE,0.15,0.986,2026-08-05 02:40:26
Maandag,18,23,31,Hybrid_KDE,0.15,0.968,2026-08-05 02:41:27
Dinsdag,0,5,226,Hybrid_KDE,0.2,0.363,2026-08-05 02:42:05
Dinsdag,6,6,429,Hybrid_KDE,0.2,0.452,2026-08-05 02:42:22
Dinsdag,7,7,438,Hybrid_KDE,0.2,0.877,2026-08-05 02:42:50
Dinsdag,8,8,830,Hybrid_KDE,0.2,0.93,2026-08-05 02:43:00
Dinsdag,9,9,777,Hybrid_KDE,0.25,0.921,2026-08-05 02:43:33
Dinsdag,10,10,421,Hybrid_KDE,0.2,0.898,2026-08-05 02:43:50
Dinsdag,11,11,338,Hybrid_KDE,0.2,0.911,2026-08-05 02:43:57
Dinsdag,12,12,485,Hybrid_KDE,0.2,0.936,2026-08-05 02:44:06
Dinsdag,13,13,489,Hybrid_KDE,0.2,0.912,2026-08-05 02:44:12
Dinsdag,14,14,204,Hybrid_KDE,0.2,0.936,2026-08-05 02:44:19
Dinsdag,15,15,126,Hybrid_KDE,0.2,0.889,2026-08-05 02:44:32
Dinsdag,16,16,236,Hybrid_KDE,0.15,0.97,2026-08-05 02:44:46
Dinsdag,17,17,267,Hybrid_KDE,0.15,0.993,2026-08-05 02:44:55
Dinsdag,18,18,27,Hybrid_KDE,0.1,1,2026-08-05 02:45:34
Dinsdag,19,23,13,Hybrid_KDE,0.15,0.923,2026-08-05 02:45:52
Woensdag,0,5,213,Hybrid_KDE,0.2,0.399,2026-08-05 02:46:43
Woensdag,6,6,359,Hybrid_KDE,0.2,0.521,2026-08-05 02:46:55
